,exergy_if_BL,exergy_c_BL,exergy_of_BL,exergy_if_sun,exergy_if_sky,exergy_if_gnd,exergy_if_cv,exergy_c_sun,exergy_c_rad,exergy_of_os,exergy_of_cd,0,0
5,-7.933521930449122,2.556352987913883,-15.390274056354437,0.0,3.113887693309582,1.209982709063142,-12.257392332821846,0.0,2.556352987913883,2.0457601893369968,-17.436034245691435,,warm
11,-3.3482633362073004,1.701433047452783,-9.703572639881063,0.0,3.0825790420128913,1.2165252783475309,-7.647367656567723,0.0,1.701433047452783,1.2042227824528455,-10.907795422333908,,warm
17,-1.205226756182605,1.254598705616723,-7.0046353678385715,0.0,3.077518361737553,1.2323014467687947,-5.515046564688953,0.0,1.254598705616723,0.7922447140056106,-7.796880081844182,,warm
23,0.449186246500199,1.0455795372996912,-5.250721982965805,0.0,3.160212506696129,1.3073064506057188,-4.018332710801649,0.0,1.0455795372996912,0.6207894730936636,-5.871511456059468,,warm
29,1.4597870488246958,0.9225694967685978,-4.265817614621481,0.0,3.251420907092983,1.3902013487837184,-3.1818352070520053,0.0,0.9225694967685978,0.52889393359446,-4.7947115482159415,,warm
35,2.2495156888479784,0.8403254279608386,-3.556852589005067,0.0,3.3429476939090135,1.475722887420863,-2.5691548924818983,0.0,0.8403254279608386,0.4730916662476068,-4.029944255252674,,warm
41,3.398134176988334,0.5918661429875988,-1.4382678880957043,0.0,3.2661685529178754,1.0438043478260886,-0.9118387237556302,0.0,0.5918661429875988,0.14287326391580285,-1.581141152011507,,warm
47,44.54141253688697,40.74934029172962,-0.11756872184095604,40.864460964375226,3.165927403958011,0.6647597752146517,-0.15373560666091127,40.274779728672314,0.4745605630573007,0.020570195226408787,-0.13813891706736484,,warm
53,104.8894120909008,102.3868106163565,-2.5727384708417067,104.13941740414323,3.683440770130491,1.367839508255725,-4.301285591628645,101.47264975219426,0.9141608641622442,0.4083493934983049,-2.9810878643400116,,warm
59,147.2663841553883,143.11441787495707,-0.8500441153749827,145.59388247266548,3.720461016843975,1.2950983256910529,-3.3430576598122035,142.26603556586872,0.848382309088344,0.3211754042314951,-1.1712195196064779,,warm
