Location Title,Latitude {N+/S-},Longitude {E+/W-},TimeZone {+/- GMT},Elevation {m}
LOCATION_Gwangju_KJ_KOR_SRC-TMYx_471560,35.17310,126.8917,9.0,74.0
Number of Design Conditions,Title of Design Condition,,Design Stat,ColdestMonth,DB996,DB990,DP996,HR_DP996,DB_DP996,DP990,HR_DP990,DB_DP990,WS004c,DB_WS004c,WS010c,DB_WS010c,WS_DB996,WD_DB996,Design Stat,HottestMonth,DBR,DB004,WB_DB004,DB010,WB_DB010,DB020,WB_DB020,WB004,DB_WB004,WB010,DB_WB010,WB020,DB_WB020,WS_DB004,WD_DB004,DP004,HR_DP004,DB_DP004,DP010,HR_DP010,DB_DP010,DP020,HR_DP020,DB_DP020,EN004,DB_EN004,EN010,DB_EN010,EN020,DB_EN020,#Hrs_8-4_&_DB-12.8/20.6,Design Stat,WS010,WS025,WS050,WBmax,DBmin_mean,DBmax_mean,DBmin_stddev,DBmax_stddev,DBmin05years,DBmax05years,DBmin10years,DBmax10years,DBmin20years,DBmax20years,DBmin50years,DBmax50years
,,,Units,{},{°C},{°C},{°C},{},{°C},{°C},{},{°C},{m/s},{°C},{m/s},{°C},{m/s},{deg},Units,{},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{m/s},{deg},{°C},{},{°C},{°C},{},{°C},{°C},{},{°C},{kJ/kg},{°C},{kJ/kg},{°C},{kJ/kg},{°C},{},Units,{m/s},{m/s},{m/s},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C}
1,Climate Design Data 2013 ASHRAE Handbook,,Heating,1,-6.3,-4.8,-15.2,1,0.7,-13.4,1.2,0.3,8.1,1.6,7.1,1.5,2.3,50,Cooling,8,6.7,32.4,24.9,31.2,24.4,30.1,23.8,26.1,30.1,25.6,29.4,25.1,28.7,3.4,200,25,20.3,28,24.5,19.7,27.7,24,19,27.4,81.3,30.2,79.2,29.6,77.2,28.8,726,Extremes,7.5,6.4,5.5,30.1,-8.9,34.1,2,1.3,-10.3,35.1,-11.5,35.9,-12.6,36.6,-14,37.6
Number of Typical/Extreme Periods,Period Name,Period Type,Period Start Day,Period End Day,<repeat to # periods>
6,Summer - Week Nearest Max Temperature For Period,Extreme,8/ 3,8/ 9,Summer - Week Nearest Average Temperature For Period,Typical,8/24,8/30,Winter - Week Nearest Min Temperature For Period,Extreme,12/15,12/21,Winter - Week Nearest Average Temperature For Period,Typical,12/22,12/28,Autumn - Week Nearest Average Temperature For Period,Typical,10/13,10/19,Spring - Week Nearest Average Temperature For Period,Typical,4/12,4/18
Number of Ground Temperature Depths,Ground Temperature Depth {m},Soil Conductivity {W/m-K},Soil Density {kg/m3},Soil Specific Heat {J/kg-K},Jan {C},Feb{C},Mar {C},Apr {C},May {C},Jun {C},Jul {C},Aug {C},Sep {C},Oct {C},Nov {C},Dec {C},<repeat to Number of temperature depths>
3,.5,,,,3.88,2.83,4.69,7.59,15.20,21.07,25.03,26.23,24.18,19.62,13.53,7.88,2,,,,7.73,5.86,6.25,7.79,12.88,17.48,21.16,23.13,22.71,20.13,15.93,11.49,4,,,,10.92,9.01,8.59,9.17,12.05,15.15,17.99,19.97,20.43,19.31,16.85,13.84
Leap Year Observed?,Daylight Saving Start Date,Daylight Saving End Date,Number of Holidays,Holiday Name,Holiday Date,<repeat for # Holidays>
No,0,0,0
Comment Line #1
"NCEI ISD/ERA5 - #years=[15] Period of Record=2007-2021; Jan=2009; Feb=2019; Mar=2019; Apr=2012; May=2016; Jun=2011; Jul=2012; Aug=2017; Sep=2013; Oct=2013; Nov=2016; Dec=2009"
Comment Line #2
"Downloaded from Climate.Onebuilding.org -- Ground temps represent undisturbed earth temperatures - calculated from this weather data."
Number of Data Periods [DP],Number of Intervals per Hour,DP Name/Description,DP Start Day of Week,DP Start Day, DP End Day,<repeat to # Data Periods>
1,1,Data,Sunday,1/ 1,12/31
Date,HH:MM,Datasource,DryBulb {C},DewPoint {C},RelHum {%},Atmos Pressure {Pa},ExtHorzRad {Wh/m2},ExtDirRad {Wh/m2},HorzIRSky {Wh/m2},GloHorzRad {Wh/m2},DirNormRad {Wh/m2},DifHorzRad {Wh/m2},GloHorzIllum {lux},DirNormIllum {lux},DifHorzIllum {lux},ZenLum {Cd/m2},WindDir {deg},WindSpd {m/s},TotSkyCvr {.1},OpaqSkyCvr {.1},Visibility {km},Ceiling Hgt {m},PresWeathObs,PresWeathCodes,Precip Wtr {mm},Aerosol Opt Depth {.001},SnowDepth {cm},Days Last Snow,Albedo {.01},Rain {mm},Rain Quantity {hr}
Date,HH:MM,Datasource,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Atmospheric Pressure {Pa},Extraterrestrial Horizontal Radiation {Wh/m2},Extraterrestrial Direct Normal Radiation {Wh/m2},Horizontal Infrared Radiation Intensity from Sky {Wh/m2},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Global Horizontal Illuminance {lux},Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Zenith Luminance {Cd/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1},Opaque Sky Cover {.1},Visibility {km},Ceiling Height {m},Present Weather Observation,Present Weather Codes,Precipitable Water {mm},Aerosol Optical Depth {.001},Snow Depth {cm},Days Since Last Snow,Albedo {.01},Liquid Precipitation Depth {mm},Liquid Precipitation Quantity {hr}
2009/1/1,01:00,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,-2.6,-3.9,90,101488,0,0,226,0,0,0,0,0,0,0,324,1.4,9,9,777.7,628,9,'999999999,7,0.0850,1,88,0.140,0.1,0.0
2009/1/1,02:00,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,-2.7,-3.9,90,101497,0,0,239,0,0,0,0,0,0,0,323,1.7,9,9,777.7,735,9,'999999999,7,0.0850,1,88,0.150,0.1,0.0
2009/1/1,03:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,-2.8,-3.9,91,101507,0,0,254,0,0,0,0,0,0,0,20,2.1,9,9,8000.0,1200,0,'999099999,7,0.0850,1,88,0.150,0.1,0.0
2009/1/1,04:00,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-3.3,-4.7,89,101502,0,0,252,0,0,0,0,0,0,0,326,1.7,9,9,8000.0,617,9,'999999999,6,0.0850,1,88,0.150,0.1,0.0
2009/1/1,05:00,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-3.8,-5.4,87,101497,0,0,262,0,0,0,0,0,0,0,327,1.4,9,9,8000.0,613,9,'999999999,6,0.0850,1,88,0.150,0.1,0.0
2009/1/1,06:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,-4.3,-6.2,85,101492,0,0,261,0,0,0,0,0,0,0,20,1.0,9,9,8000.0,1200,0,'999099999,5,0.0850,1,88,0.160,0.1,0.0
2009/1/1,07:00,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,-1.3,-5.1,73,101476,0,0,268,0,0,0,0,0,0,0,343,1.7,6,6,8000.0,608,9,'999999999,6,0.0850,3,88,0.200,0.1,0.0
2009/1/1,08:00,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,1.6,-4.0,64,101459,62,328,240,45,153,24,10957,27624,6399,4575,348,2.4,5,5,8000.0,434,9,'999999999,7,0.0850,4,88,0.200,0.0,0.0
2009/1/1,09:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-4.1,-9.1,65,101681,306,1415,217,163,393,72,25154,46266,12053,6606,20,4.6,4,4,8000.0,77777,0,'999099999,4,0.0850,8,88,0.200,0.0,0.0
2009/1/1,10:00,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,-3.1,-8.8,61,101681,507,1415,216,300,513,116,38006,55209,15997,6938,346,4.3,4,4,8000.0,695,9,'999999999,4,0.0850,3,88,0.200,0.0,0.0
2009/1/1,11:00,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,-2.0,-8.5,57,101681,652,1415,225,396,565,138,46354,59458,18835,6567,344,3.9,4,4,8000.0,757,9,'999999999,4,0.0850,4,88,0.200,0.0,0.0
2009/1/1,12:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-1.0,-8.2,54,101682,730,1415,231,454,596,149,49386,59122,21074,6820,20,3.6,1,1,8000.0,77777,0,'999099999,4,0.0850,4,88,0.200,0.0,0.0
2009/1/1,13:00,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,-1.0,-8.0,55,101669,737,1415,237,448,553,162,44772,50599,22107,7681,337,4.3,3,3,8000.0,780,9,'999999999,5,0.0850,4,88,0.200,0.0,0.0
